country;central_bank;wikipedia_bank_url;source_type;source_label;wiki_name;cargo;start_year;end_year
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Daur Barganjia;Chair;1996;1998
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Boris Zhirov;Chair;;2004
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Emma Tania;Chair;2004;2005
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;2005;2011
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;2011;2014
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;2014;2014
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Beslan Baratelia;Chair;2014;Incumbent
Afghanistan;Da Afghanistan Bank;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank;infobox;Governor;Noor Ahmad Agha;Governor;;
Albania;Bank of Albania;https://en.wikipedia.org/wiki/Bank_of_Albania;infobox;Governor;Gent Sejko;Governor;;
Algeria;Bank of Algeria;https://en.wikipedia.org/wiki/Bank_of_Algeria;infobox;Governor;Mouatassem Boudiaf;Governor;;
Angola;National Bank of Angola;https://en.wikipedia.org/wiki/National_Bank_of_Angola;infobox;Governor;Manuel António Tiago Dias;Governor;;
Anguilla;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;Timothy Antoine;Governor;;
Antigua and Barbuda;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;Timothy Antoine;Governor;;
Argentina;Central Bank of Argentina;https://en.wikipedia.org/wiki/Central_Bank_of_Argentina;infobox;President;Santiago Bausili;President;;
Armenia;Central Bank of Armenia;https://en.wikipedia.org/wiki/Central_Bank_of_Armenia;infobox;Governor;Martin Galstyan;Governor;;
Aruba;Central Bank of Aruba;https://en.wikipedia.org/wiki/Central_Bank_of_Aruba;infobox;President;Jeanette R Semeleer;President;;
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;* Died in office | List of Governors;Died in office;Governor;;
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Denison Miller;Governor;1912;1923
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;James Kell;Governor;1924;1926
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Sir Ernest Riddle;Governor;1926;1938
