country;central_bank;wikipedia_bank_url
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia
Afghanistan;Da Afghanistan Bank;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank
Albania;Bank of Albania;https://en.wikipedia.org/wiki/Bank_of_Albania
Algeria;Bank of Algeria;https://en.wikipedia.org/wiki/Bank_of_Algeria
Andorra;"No central bank; uses the Euro as its domestic currency. The Andorran Financial Authority provides financial regulation and control of the financial sector in Andorra.";https://en.wikipedia.org/wiki/Euro
Angola;National Bank of Angola;https://en.wikipedia.org/wiki/National_Bank_of_Angola
Anguilla;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
Antigua and Barbuda;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
Argentina;Central Bank of Argentina;https://en.wikipedia.org/wiki/Central_Bank_of_Argentina
Armenia;Central Bank of Armenia;https://en.wikipedia.org/wiki/Central_Bank_of_Armenia
Aruba;Central Bank of Aruba;https://en.wikipedia.org/wiki/Central_Bank_of_Aruba
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia
Austria;European Central Bank ( Oesterreichische Nationalbank );https://en.wikipedia.org/wiki/European_Central_Bank
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan
Bahamas;Central Bank of The Bahamas;https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas
Bahrain;Central Bank of Bahrain;https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank
Barbados;Central Bank of Barbados;https://en.wikipedia.org/wiki/Central_Bank_of_Barbados
Belarus;National Bank of the Republic of Belarus;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus
Belgium;European Central Bank ( National Bank of Belgium );https://en.wikipedia.org/wiki/European_Central_Bank
Belize;Central Bank of Belize;https://en.wikipedia.org/wiki/Central_Bank_of_Belize
Benin;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Bermuda;Bermuda Monetary Authority;https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan
Bolivia;Central Bank of Bolivia;https://en.wikipedia.org/wiki/Central_Bank_of_Bolivia
Bosnia and Herzegovina;Central Bank of Bosnia and Herzegovina;https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina
Botswana;Bank of Botswana;https://en.wikipedia.org/wiki/Bank_of_Botswana
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil
Brunei;Brunei Darussalam Central Bank;https://en.wikipedia.org/wiki/Brunei_Darussalam_Central_Bank
Bulgaria;European Central Bank ( Bulgarian National Bank );https://en.wikipedia.org/wiki/European_Central_Bank
Burkina Faso;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
