PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
H. Mehran;Hassanali Mehran;ABW;hassanali;mehran;ABW;;;;;2;0;1937;2;;;;Iran;Tehran;President / Governor;1;Hassan Ali Mehran;https://en.wikipedia.org/wiki/Hassan_Ali_Mehran;Q5691751;28.696969696969695;shared_last_name|name_similarity:0.97|econ_context|role_hint;matched;1
Hassanali Mehran;Hassanali Mehran;ABW;hassanali;mehran;ABW;;;;;2;0;1937;2;;;;Iran;Tehran;President / Governor;1;Hassan Ali Mehran;https://en.wikipedia.org/wiki/Hassan_Ali_Mehran;Q5691751;28.696969696969695;shared_last_name|name_similarity:0.97|econ_context|role_hint;matched;1
Elias Mansur;Elias Mansur;ABW;elias;mansur;ABW;;;;;2;0;;;;;;;;President / Governor;;Don Elias Mansur Ballpark;https://en.wikipedia.org/wiki/Don_Elias_Mansur_Ballpark;Q5360550;20.486486486486488;partial_title|name_similarity:0.65|country_hint;rejected;0
A. R. Caram;A Caram;ABW;a;caram;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Jeanette R. Semeleer;J Semeleer;ABW;j;semeleer;ABW;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Jeanette Semeleer;Jeanette Semeleer;ABW;jeanette;semeleer;ABW;;;;;2;1;;;;;;;;President / Governor;;Jane Semeleer;https://en.wikipedia.org/wiki/Jane_Semeleer;Q11978170;31.666666666666668;shared_last_name|name_similarity:0.87|econ_context|country_hint|role_hint;rejected;0
A. J.T. Williams;A Williams;ABW;a;williams;ABW;;;;;2;0;;;;;;;;President / Governor;;Kim A. Williams;https://en.wikipedia.org/wiki/Kim_A._Williams;Q23770345;31.333333333333336;partial_title|name_similarity:0.83|econ_context|role_hint;rejected;0
E. den Dunnen;Emile Dunnen;ABW;emile;dunnen;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
A. S. Irausquin;Arthur Irausquin;ABW;arthur;irausquin;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
J-H. du Marchie Sarvaas;J Sarvaas;ABW;j;sarvaas;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
A. R. Caram;Anthony Caram;ABW;anthony;caram;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
R. Henriquez;Robertico Henriquez;ABW;robertico;henriquez;ABW;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Noorullah Delawari;Noorullah Delawari;AFG;noorullah;delawari;AFG;;;;;2;0;;;;;;;;President / Governor;;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;26.714285714285715;name_similarity:0.97|econ_context|country_hint|role_hint;rejected;0
Noorullah Delawari;Noorullah Delawari;AFG;noorullah;delawari;AFG;;;;;2;0;;;;;;;;President / Governor;;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;26.714285714285715;name_similarity:0.97|econ_context|country_hint|role_hint;rejected;0
