search_name;iso3;position_original;wikipedia_title;wikipedia_person_url;wikipedia_qid;match_score;match_reason
Hassanali Mehran;ABW;President / Governor;Hassan Ali Mehran;https://en.wikipedia.org/wiki/Hassan_Ali_Mehran;Q5691751;28.696969696969695;shared_last_name|name_similarity:0.97|econ_context|role_hint
Hassanali Mehran;ABW;President / Governor;Hassan Ali Mehran;https://en.wikipedia.org/wiki/Hassan_Ali_Mehran;Q5691751;28.696969696969695;shared_last_name|name_similarity:0.97|econ_context|role_hint
Elias Mansur;ABW;President / Governor;Don Elias Mansur Ballpark;https://en.wikipedia.org/wiki/Don_Elias_Mansur_Ballpark;Q5360550;20.486486486486488;partial_title|name_similarity:0.65|country_hint
Jeanette Semeleer;ABW;President / Governor;Jane Semeleer;https://en.wikipedia.org/wiki/Jane_Semeleer;Q11978170;31.666666666666668;shared_last_name|name_similarity:0.87|econ_context|country_hint|role_hint
A Williams;ABW;President / Governor;Kim A. Williams;https://en.wikipedia.org/wiki/Kim_A._Williams;Q23770345;31.333333333333336;partial_title|name_similarity:0.83|econ_context|role_hint
Noorullah Delawari;AFG;President / Governor;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;26.714285714285715;name_similarity:0.97|econ_context|country_hint|role_hint
Noorullah Delawari;AFG;President / Governor;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;26.714285714285715;name_similarity:0.97|econ_context|country_hint|role_hint
Noorullah Delawari;AFG;President / Governor;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;26.714285714285715;name_similarity:0.97|econ_context|country_hint|role_hint
Anwar Ahady;AFG;President / Governor;Anwar ul-Haq Ahady;https://en.wikipedia.org/wiki/Anwar_ul-Haq_Ahady;Q3270084;29.586206896551722;partial_title|name_similarity:0.76|econ_context|country_hint
Mohammad Qayoumi;AFG;Board member;Mohammad Qayoumi;https://en.wikipedia.org/wiki/Mohammad_Qayoumi;Q6892292;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Omar Zakhilwal;AFG;Board member;Omar Zakhilwal;https://en.wikipedia.org/wiki/Omar_Zakhilwal;Q7089863;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Ajmal Ahmady;AFG;President / Governor;Ajmal Ahmady;https://en.wikipedia.org/wiki/Ajmal_Ahmady;Q105641732;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Nargis Nehan;AFG;Board member;Nargis Nehan;https://en.wikipedia.org/wiki/Nargis_Nehan;Q61120412;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Abdul Azizi;AFG;President / Governor;Abdul Azizi Ali Rahman;https://en.wikipedia.org/wiki/Abdul_Azizi_Ali_Rahman;Q24088738;24.666666666666664;strong_title|name_similarity:0.67
Mohammad Khan;AFG;President / Governor;Arif Mohammad Khan;https://en.wikipedia.org/wiki/Arif_Mohammad_Khan;Q4790546;31.387096774193548;partial_title|name_similarity:0.84|econ_context|role_hint
Mohammad Kabir;AFG;President / Governor;Mohammad Kabir Hassan;https://en.wikipedia.org/wiki/Mohammad_Kabir_Hassan;Q30072965;34.0;strong_title|name_similarity:0.80|econ_context
Mohammad Khan;AFG;President / Governor;Arif Mohammad Khan;https://en.wikipedia.org/wiki/Arif_Mohammad_Khan;Q4790546;31.387096774193548;partial_title|name_similarity:0.84|econ_context|role_hint
Ehsanullah Ehsan;AFG;President / Governor;Ehsanullah Ehsan (banker);https://en.wikipedia.org/wiki/Ehsanullah_Ehsan_(banker);Q5348672;43.205128205128204;strong_title|name_similarity:0.82|econ_context|country_hint|role_hint
Mohammad Ahmadi;AFG;President / Governor;Baz Mohammad Ahmadi;https://en.wikipedia.org/wiki/Baz_Mohammad_Ahmadi;Q730798;35.82352941176471;partial_title|name_similarity:0.88|econ_context|country_hint|role_hint
Noorullah Delwari;AFG;President / Governor;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Noorullah Delwari;AFG;President / Governor;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Mohammad Osmani;AFG;Board member;Akhtar Mohammad Osmani;https://en.wikipedia.org/wiki/Akhtar_Mohammad_Osmani;Q2829009;35.10810810810811;partial_title|name_similarity:0.81|econ_context|country_hint|role_hint
Shakir Jalali;AFG;President / Governor;Shakir Jalali;https://en.wikipedia.org/wiki/Shakir_Jalali;Q108872917;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Gaspar Martins;AGO;President / Governor;Ismael Martins;https://en.wikipedia.org/wiki/Ismael_Martins;Q5526551;25.142857142857142;shared_last_name|name_similarity:0.71|econ_context|country_hint
Aguinaldo Jaime;AGO;President / Governor;Aguinaldo Jaime;https://en.wikipedia.org/wiki/Aguinaldo_Jaime;Q4694559;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Jose Morais;AGO;President / Governor;José Morais;https://en.wikipedia.org/wiki/José_Morais;Q4353621;39.0;exact_title|name_similarity:1.00|country_hint
Gualberto Campos;AGO;Vice-president / Deputy-governor;Gualberto Campos;https://en.wikipedia.org/wiki/Gualberto_Campos;Q5613375;35.0;exact_title|name_similarity:1.00
Manuel Dias;AGO;Vice-president / Deputy-governor;Manuel Dias (athlete);https://en.wikipedia.org/wiki/Manuel_Dias_(athlete);Q6752533;25.333333333333332;strong_title|name_similarity:0.73
Manuel Dias;AGO;Board member;Manuel Dias (athlete);https://en.wikipedia.org/wiki/Manuel_Dias_(athlete);Q6752533;25.333333333333332;strong_title|name_similarity:0.73
Valter Silva;AGO;President / Governor;Valter;https://en.wikipedia.org/wiki/Valter;Q16282332;24.666666666666664;strong_title|name_similarity:0.67
Jose Carvalho;AGO;President / Governor;José Carvalho da Rocha;https://en.wikipedia.org/wiki/José_Carvalho_da_Rocha;Q18276312;42.42857142857143;strong_title|name_similarity:0.74|econ_context|country_hint|role_hint
Pedro Neto;AGO;President / Governor;Pedro Neto;https://en.wikipedia.org/wiki/Pedro_Neto;Q30036972;35.0;exact_title|name_similarity:1.00
Antonio Furtado;AGO;President / Governor;Antonio Luz Furtado;https://en.wikipedia.org/wiki/Antonio_Luz_Furtado;Q16668163;18.823529411764707;partial_title|name_similarity:0.88
Rui Oliveira;AGO;Board member;Rui Oliveira;https://en.wikipedia.org/wiki/Rui_Oliveira;Q23005289;35.0;exact_title|name_similarity:1.00
Walter Silva;AGO;Board member;Walter Silva;https://en.wikipedia.org/wiki/Walter_Silva;Q7966139;35.0;exact_title|name_similarity:1.00
Kostandin Boshnjaku;ALB;President / Governor;Kostandin Boshnjaku;https://en.wikipedia.org/wiki/Kostandin_Boshnjaku;Q15998344;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Abdyl Kellezi;ALB;President / Governor;Abdyl Këllezi;https://en.wikipedia.org/wiki/Abdyl_Këllezi;Q317983;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Qirjako Mihali;ALB;President / Governor;Qirjako Mihali;https://en.wikipedia.org/wiki/Qirjako_Mihali;Q2121681;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Niko Gjyzari;ALB;President / Governor;Niko Gjyzari;https://en.wikipedia.org/wiki/Niko_Gjyzari;Q31668898;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Dylber Vrioni;ALB;President / Governor;Dylber Vrioni;https://en.wikipedia.org/wiki/Dylber_Vrioni;Q13038438;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Ardian Fullani;ALB;President / Governor;Ardian Fullani;https://en.wikipedia.org/wiki/Ardian_Fullani;Q1815088;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Ilir Hoti;ALB;President / Governor;Ilir Hoti;https://en.wikipedia.org/wiki/Ilir_Hoti;Q21229005;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Ermelinda Meksi;ALB;Board member;Ermelinda Meksi;https://en.wikipedia.org/wiki/Ermelinda_Meksi;Q30315479;44.0;exact_title|name_similarity:1.00|country_hint|role_hint
Arben Malaj;ALB;Board member;Arben Malaj;https://en.wikipedia.org/wiki/Arben_Malaj;Q4784677;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
