search_name;iso3;position_original;reason
A Caram;ABW;President / Governor;no_reliable_match
J Semeleer;ABW;President / Governor;no_reliable_match
Emile Dunnen;ABW;President / Governor;no_reliable_match
Arthur Irausquin;ABW;President / Governor;no_reliable_match
J Sarvaas;ABW;President / Governor;no_reliable_match
Anthony Caram;ABW;President / Governor;no_reliable_match
Robertico Henriquez;ABW;President / Governor;no_reliable_match
Ghulam Yalaqi;AFG;Board member;no_reliable_match
Mohammad Hashimzai;AFG;Board member;no_reliable_match
Khalil Sediq;AFG;President / Governor;no_reliable_match
Shah Mehrabi;AFG;Board member;no_reliable_match
Abdul Fitrat;AFG;President / Governor;no_reliable_match
Katrin Fakiri;AFG;Board member;no_reliable_match
Hidayatullah Badri;AFG;President / Governor;no_reliable_match
Noor Agha;AFG;President / Governor;no_reliable_match
Mohibullah Safi;AFG;Vice-president / Deputy-governor;no_reliable_match
Wahidullah Nosher;AFG;President / Governor;no_reliable_match
Habibullah Achekzai;AFG;President / Governor;no_reliable_match
Ghulam Jujeni;AFG;President / Governor;no_reliable_match
Mehrabuddin Paktiawal;AFG;President / Governor;no_reliable_match
Abdul Ranjbar;AFG;President / Governor;no_reliable_match
Khalil Sediq;AFG;President / Governor;no_reliable_match
Abdul Asefi;AFG;President / Governor;no_reliable_match
Najibullah Sahu;AFG;President / Governor;no_reliable_match
Abdul Sani;AFG;President / Governor;no_reliable_match
Samiullah Ibrahimi;AFG;Vice-president / Deputy-governor;no_reliable_match
Abdul Ghawasi;AFG;Board member;no_reliable_match
Khan Hadawal;AFG;President / Governor;no_reliable_match
Khan Hadawal;AFG;President / Governor;no_reliable_match
Manuel Junior;AGO;Board member;no_reliable_match
Jose Massano;AGO;President / Governor;no_reliable_match
Ricardo Abreu;AGO;Vice-president / Deputy-governor;no_reliable_match
Ricardo Dabreu;AGO;Vice-president / Deputy-governor;no_reliable_match
Jose Massano;AGO;President / Governor;no_reliable_match
Augusto Matos;AGO;President / Governor;no_reliable_match
Antonio Inacio;AGO;President / Governor;no_reliable_match
Sebastiao Lavrador;AGO;President / Governor;no_reliable_match
Generoso Almeida;AGO;President / Governor;no_reliable_match
Sebastiao Lavrador;AGO;President / Governor;no_reliable_match
Celestino Kanda;AGO;President / Governor;no_reliable_match
Marinela Amaral;AGO;Board member;no_reliable_match
Amadeu Mauricio;AGO;Vice-president / Deputy-governor;no_reliable_match
Abrahao Gourgel;AGO;President / Governor;no_reliable_match
Suzana Monteiro;AGO;Board member;no_reliable_match
Spiro Bakalli;ALB;President / Governor;no_reliable_match
Kostaq Postoli;ALB;President / Governor;no_reliable_match
Andrea Nako;ALB;President / Governor;no_reliable_match
Ksenofon Krisafi;ALB;Board member;no_reliable_match
Sulo Haderi;ALB;Board member;no_reliable_match
Shklqim Cani;ALB;President / Governor;no_reliable_match
Anastas Angjeli;ALB;Board member;no_reliable_match
Tonin Kola;ALB;Board member;no_reliable_match
Fatos Ibrahimi;ALB;Vice-president / Deputy-governor;no_reliable_match
Petraq Milo;ALB;Board member;no_reliable_match
Luljeta Minxhozi;ALB;Vice-president / Deputy-governor;no_reliable_match
Drini Salko;ALB;Board member;no_reliable_match
Tonin Kola;ALB;Board member;no_reliable_match
Bajram Muca;ALB;Board member;no_reliable_match
Arjan Kadareja;ALB;Board member;no_reliable_match
Kristaq Luniku;ALB;President / Governor;no_reliable_match
Gent Sejko;ALB;President / Governor;no_reliable_match
Elisabeta Gjoni;ALB;Vice-president / Deputy-governor;no_reliable_match
Natasha Ahmetaj;ALB;Board member;no_reliable_match
Luljeta Minxhozi;ALB;Vice-president / Deputy-governor;no_reliable_match
Zeqir Lika;ALB;President / Governor;no_reliable_match
Llazar Gjika;ALB;President / Governor;no_reliable_match
Kamber Myftari;ALB;President / Governor;no_reliable_match
Qamil Tusha;ALB;President / Governor;no_reliable_match
Dhame Pite;ALB;Board member;no_reliable_match
Llazi Balliu;ALB;Board member;no_reliable_match
Tefta Cuci;ALB;Board member;no_reliable_match
Limos Malaj;ALB;Board member;no_reliable_match
Halit Xhafa;ALB;Board member;no_reliable_match
Ela Golemi;ALB;Board member;no_reliable_match
Elisabeta Gjoni;ALB;President / Governor;no_reliable_match
Denada Prifti;ALB;Board member;no_reliable_match
Emsley Tromp;ANT;President / Governor;no_reliable_match
Antoine Delden;ANT;President / Governor;no_reliable_match
Henri Timmermans;ANT;President / Governor;no_reliable_match
Hans Servage;ANT;President / Governor;no_reliable_match
Khalil Foulathi;ARE;Board member;no_reliable_match
Sultan Alsuwaidi;ARE;President / Governor;no_reliable_match
Abdulhamid Alahmadi;ARE;President / Governor;no_reliable_match
Khaled Tameemi;ARE;President / Governor;no_reliable_match
Mubarak Mansoori;ARE;President / Governor;no_reliable_match
Omar Sulaiman;ARE;Vice-president / Deputy-governor;no_reliable_match
Khalid Altayer;ARE;Board member;no_reliable_match
Hamad Buamim;ARE;Board member;no_reliable_match
Abdelmalik Alhamar;ARE;President / Governor;no_reliable_match
Abdelmalik Alhamar;ARE;President / Governor;no_reliable_match
Bin Alsuwaidi;ARE;President / Governor;no_reliable_match
Khalifa Huwaileel;ARE;Board member;no_reliable_match
Saeed Almuhairy;ARE;Board member;no_reliable_match
Younis Khoori;ARE;Board member;no_reliable_match
Eduardo Longardi;ARG;President / Governor;no_reliable_match
Arturo Ilia;ARG;President / Governor;no_reliable_match
Jorge Emparanza;ARG;President / Governor;no_reliable_match
* Mondelli;ARG;President / Governor;no_reliable_match
Gonzalez Solar;ARG;President / Governor;no_reliable_match
Garcia Vazquez;ARG;President / Governor;no_reliable_match
Ricardo Gruneisen;ARG;President / Governor;no_reliable_match
Ricardo Cairoli;ARG;President / Governor;no_reliable_match
* Ianella;ARG;President / Governor;no_reliable_match
Hernan Aldabe;ARG;President / Governor;no_reliable_match
Roque Maccarone;ARG;President / Governor;no_reliable_match
Enrique Folcini;ARG;President / Governor;no_reliable_match
Fernando Rua;ARG;President / Governor;no_reliable_match
Pedro Pou;ARG;President / Governor;no_reliable_match
Pedro Pou;ARG;President / Governor;no_reliable_match
Javier Fraga;ARG;President / Governor;no_reliable_match
Javier Fraga;ARG;President / Governor;no_reliable_match
Mercedes Pont;ARG;Board member;no_reliable_match
Miguel Pesce;ARG;Board member;no_reliable_match
Alfonso Pratgay;ARG;President / Governor;no_reliable_match
Demian Reidel;ARG;Vice-president / Deputy-governor;no_reliable_match
