country;central_bank;wikipedia_bank_url;source_type;source_label;row_data
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': '#', '1': 'Name', '2': 'From', '3': 'nan', '4': 'Until', '5': 'nan', '6': 'President', '7': 'Comments'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Daur Barganjia', '2': '1996', '4': '1998', '6': 'Vladislav Ardzinba', '7': 'nan'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Boris Zhirov', '2': 'nan', '3': 'nan', '4': '10 November 2004', '6': 'Vladislav Ardzinba', '7': 'nan'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Emma Tania', '2': '10 November 2004', '4': '10 June 2005', '6': 'Vladislav Ardzinba', '7': 'Acting'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Illarion Argun', '2': '10 June 2005', '4': '29 May 2011', '5': 'nan', '6': 'Sergei Bagapsh', '7': 'nan'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Illarion Argun', '2': '29 May 2011', '3': 'nan', '4': '1 June 2014', '5': 'nan', '6': 'Alexander Ankvab', '7': 'nan'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Illarion Argun', '2': '1 June 2014', '3': 'nan', '4': '1 August 2014', '6': 'Valeri Bganba', '7': 'Died in office'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;{'': 'nan', '1': 'Beslan Baratelia', '2': '29 December 2014', '4': 'present', '5': 'nan', '6': 'Raul Khajimba', '7': 'nan'}
Afghanistan;Da Afghanistan Bank;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank;infobox;Governor;{'Governor': 'Noor Ahmad Agha'}
Albania;Bank of Albania;https://en.wikipedia.org/wiki/Bank_of_Albania;infobox;Governor;{'Governor': 'Gent Sejko'}
Algeria;Bank of Algeria;https://en.wikipedia.org/wiki/Bank_of_Algeria;infobox;Governor;{'Governor': 'Mouatassem Boudiaf'}
Angola;National Bank of Angola;https://en.wikipedia.org/wiki/National_Bank_of_Angola;infobox;Governor;{'Governor': 'Manuel António Tiago Dias'}
Anguilla;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;{'Governor': 'Timothy Antoine'}
Antigua and Barbuda;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;{'Governor': 'Timothy Antoine'}
Argentina;Central Bank of Argentina;https://en.wikipedia.org/wiki/Central_Bank_of_Argentina;infobox;President;{'President': 'Santiago Bausili'}
Armenia;Central Bank of Armenia;https://en.wikipedia.org/wiki/Central_Bank_of_Armenia;infobox;Governor;{'Governor': 'Martin Galstyan'}
Aruba;Central Bank of Aruba;https://en.wikipedia.org/wiki/Central_Bank_of_Aruba;infobox;President;{'President': 'Jeanette R Semeleer'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;* Died in office | List of Governors;{'': '*', '1': 'Died in office'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': 'Governors of the Commonwealth Bank of Australia', 'Governor': 'Governors of the Commonwealth Bank of Australia', 'Post-nominals': 'Governors of the Commonwealth Bank of Australia', 'Start': 'Governors of the Commonwealth Bank of Australia', 'End': 'Governors of the Commonwealth Bank of Australia', 'Ref': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 6': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 7': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 8': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 9': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 10': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 11': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 12': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 13': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 14': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 15': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 16': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 17': 'Governors of the Commonwealth Bank of Australia'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '1', 'Governor': 'Denison Miller', 'Post-nominals': 'KCMG', 'Start': 'June 1912', 'End': 'June 1923', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '2', 'Governor': 'James Kell', 'Post-nominals': 'nan', 'Start': 'October 1924', 'End': 'October 1926', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '3', 'Governor': 'Sir Ernest Riddle', 'Post-nominals': 'nan', 'Start': 'October 1926', 'End': 'February 1938', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '4', 'Governor': 'Sir Henry Sheehan', 'Post-nominals': 'CBE', 'Start': 'February 1938', 'End': 'March 1941', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '5', 'Governor': 'Hugh Armitage', 'Post-nominals': 'CMG', 'Start': 'July 1941', 'End': 'December 1948', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
