category_name;category_url
Governors of the Bank of Central African States;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Central_African_States
Governors of the Central Bank of West African States;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_West_African_States
Governors of Da Afghanistan Bank;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank
Governors of the Bank of Albania;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania
Governors of the Bank of Algeria;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Algeria
Governors of the Bank of Angola;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Angola
Presidents of the Central Bank of Argentina;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina
Chairmen of the Central Bank of Armenia;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia
Governors of the Reserve Bank of Australia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia
Governors of Oesterreichische Nationalbank;https://en.wikipedia.org/wiki/Category:Governors_of_Oesterreichische_Nationalbank
Governors of Azerbaijan Central Bank;https://en.wikipedia.org/wiki/Category:Governors_of_Azerbaijan_Central_Bank
Governors of the Central Bank of the Bahamas;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Bahamas
Governors of the Central Bank of Bahrain;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Bahrain
Governors of Bangladesh Bank;https://en.wikipedia.org/wiki/Category:Governors_of_Bangladesh_Bank
Governors of the Central Bank of Barbados;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Barbados
Chairmen of the National Bank of Belarus;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_National_Bank_of_Belarus
Governors of the National Bank of Belgium;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Belgium
Governors of the Central Bank of Belize;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Belize
Presidents of the Central Bank of Bolivia;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Bolivia
Governors of the Central Bank of Bosnia and Herzegovina;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Bosnia_and_Herzegovina
Governors of the Bank of Botswana;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Botswana
Presidents of the Central Bank of Brazil;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Brazil
Governors of the Bulgarian National Bank;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bulgarian_National_Bank
Governors of the Bank of the Republic of Burundi;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Republic_of_Burundi
Governors of the National Bank of Cambodia;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Cambodia
Governors of the Bank of Canada;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Chairs of the Federal Reserve;https://en.wikipedia.org/wiki/Category:Chairs_of_the_Federal_Reserve
Presidents of the Central Bank of Chile;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Governors of the People's Bank of China;https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
Governors of the Bank of the Republic (Colombia);https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Republic_(Colombia)
Governors of the Banque Centrale du Congo;https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
Presidents of the Central Bank of Costa Rica;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Costa_Rica
Governors of the Croatian National Bank;https://en.wikipedia.org/wiki/Category:Governors_of_the_Croatian_National_Bank
President of the Central Bank of Cuba;https://en.wikipedia.org/wiki/Category:President_of_the_Central_Bank_of_Cuba
Governors of the Central Bank of Cyprus;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Cyprus
Governors of the Czech National Bank;https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
