country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Abkhazia *;National Bank of the Republic of Abkhazia;Beslan Baratelia;Chair;2014.0;Incumbent;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Boris Zhirov;Chair;;2004;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Daur Barganjia;Chair;1996.0;1998;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Emma Tania;Chair;2004.0;2005;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2005.0;2011;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2011.0;2014;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2014.0;2014;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Afghanistan;Da Afghanistan Bank;Abdul Qadir Fitrat;Governor;;;categories;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Ajmal Ahmady;Governor;;;categories;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Anwar ul-Haq Ahady;Governor;;;categories;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Haji Mohammad Idris;Governor;;;categories;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Noor Ahmad Agha;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank;Governor
