country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Abkhazia *;National Bank of the Republic of Abkhazia;Daur Barganjia;Chair;1996;1998;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Boris Zhirov;Chair;;2004;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Emma Tania;Chair;2004;2005;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2005;2011;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2011;2014;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Illarion Argun;Chair;2014;2014;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Abkhazia *;National Bank of the Republic of Abkhazia;Beslan Baratelia;Chair;2014;Incumbent;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;# Name From Until President Comments | Chairman of the National Bank
Afghanistan;Da Afghanistan Bank;Noor Ahmad Agha;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank;Governor
Albania;Bank of Albania;Gent Sejko;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Bank_of_Albania;Governor
Algeria;Bank of Algeria;Mouatassem Boudiaf;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Bank_of_Algeria;Governor
Angola;National Bank of Angola;Manuel António Tiago Dias;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_Angola;Governor
Anguilla;Eastern Caribbean Central Bank;Timothy Antoine;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;Governor
Antigua and Barbuda;Eastern Caribbean Central Bank;Timothy Antoine;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;Governor
Argentina;Central Bank of Argentina;Santiago Bausili;President;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Argentina;President
Armenia;Central Bank of Armenia;Martin Galstyan;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Armenia;Governor
Aruba;Central Bank of Aruba;Jeanette R Semeleer;President;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Aruba;President
Australia;Reserve Bank of Australia;Died in office;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;* Died in office | List of Governors
Australia;Reserve Bank of Australia;Denison Miller;Governor;1912;1923;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;James Kell;Governor;1924;1926;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Sir Ernest Riddle;Governor;1926;1938;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Sir Henry Sheehan;Governor;1938;1941;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Hugh Armitage;Governor;1941;1948;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;H. C. Coombs;Governor;1949;1960;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;H. C. Coombs;Governor;1960;1968;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Sir J. G. Phillips;Governor;1968;1975;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Sir H. M. Knight;Governor;1975;1982;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Bob Johnston;Governor;1982;1989;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Bernie Fraser;Governor;1989;1996;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Ian Macfarlane;Governor;1996;2006;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Glenn Stevens;Governor;2006;2016;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Philip Lowe;Governor;2016;2023;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Australia;Reserve Bank of Australia;Michele Bullock;Governor;2023;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;# Governor Post-nominals Start End Ref | List of Governors
Austria;European Central Bank ( Oesterreichische Nationalbank );Christine Lagarde;Board Member;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/European_Central_Bank;Key people
Azerbaijan;Central Bank of Azerbaijan;Cavanşir Abdullayev;Governor;1992;1993;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;Name Took office Left office Notes | Governors
Azerbaijan;Central Bank of Azerbaijan;Qalib Ağayev;Governor;1993;1994;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;Name Took office Left office Notes | Governors
Azerbaijan;Central Bank of Azerbaijan;Elman Rustamov;Governor;1995;2022;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;Name Took office Left office Notes | Governors
Azerbaijan;Central Bank of Azerbaijan;Taleh Kazimov;Governor;2022;Incumbent;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;Name Took office Left office Notes | Governors
Bahamas;Central Bank of The Bahamas;John A Rolle;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas;Governor
Bahrain;Central Bank of Bahrain;Khalid Humaidan;Board Member;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain;Key people
Bangladesh;Bangladesh Bank;Md Mostaqur Rahman;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Bangladesh_Bank;Governor
Bangladesh;Bangladesh Bank;Nurun Nahar;Board Member;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Bangladesh_Bank;Key people
Barbados;Central Bank of Barbados;Kevin Greenidge;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Barbados;Governor
Belarus;National Bank of the Republic of Belarus;Roman Golovchenko;Chair;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus;Chairman
Belgium;European Central Bank ( National Bank of Belgium );Christine Lagarde;Board Member;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/European_Central_Bank;Key people
Belize;Central Bank of Belize;Kareem Michael;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_Belize;Governor
Benin;Central Bank of West African States;Jean-Claude Brou;Governor;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;Governor
Bermuda;Bermuda Monetary Authority;Donald Scott;Chair;;;banks;bank_page_tables_and_infobox;https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority;Chairman
