country;central_bank_name;name;position;start_year;end_year;source_method;source_page;source_detail
Afghanistan;Da Afghanistan Bank;Abdul Qadir Fitrat;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Ajmal Ahmady;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Anwar ul-Haq Ahady;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Haji Mohammad Idris;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Noorullah Delwari;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Afghanistan;Da Afghanistan Bank;Shakir Jalali;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_Da_Afghanistan_Bank;Governors of Da Afghanistan Bank
Albania;Bank of Albania;Abdyl Këllezi;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Ardian Fullani;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Dylber Vrioni;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Ilir Hoti;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Kostandin Boshnjaku;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Niko Gjyzari;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Qirjako Mihali;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Albania;Bank of Albania;Shkëlqim Cani;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Albania;Governors of the Bank of Albania
Algeria;Bank of Algeria;Aymen Benabderrahmane;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Algeria;Governors of the Bank of Algeria
Algeria;Bank of Algeria;Seghir Mostefai;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Algeria;Governors of the Bank of Algeria
Angola;Bank of Angola;Abraão Gourgel;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Angola;Governors of the Bank of Angola
Angola;Bank of Angola;Aguinaldo Jaime;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Angola;Governors of the Bank of Angola
Angola;Bank of Angola;Ismael Martins;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Angola;Governors of the Bank of Angola
Angola;Bank of Angola;José Pedro de Morais;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Angola;Governors of the Bank of Angola
Argentina;Central Bank of Argentina;Adolfo Diz;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Aldo Pignanelli;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Alejandro Vanoli;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Alfonso Prat-Gay;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Antonio Erman González;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Domingo Cavallo;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Eduardo Laurencena;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Ernesto Bosch;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Federico Sturzenegger;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Guido Sandleris;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Javier González Fraga;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;José Luis Machinea;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Juan Carlos Fábrega;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;List of presidents of the Central Bank of Argentina;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Luis Caputo;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Mario Blejer;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Martín Redrado;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Mercedes Marcó del Pont;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Miguel Ángel Pesce;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Roque Fernández;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Argentina;Central Bank of Argentina;Santiago Bausili;President;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Argentina;Presidents of the Central Bank of Argentina
Armenia;Central Bank of Armenia;Bagrat Asatryan;Chair;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia;Chairmen of the Central Bank of Armenia
Armenia;Central Bank of Armenia;Grigor Jaghetyan;Chair;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia;Chairmen of the Central Bank of Armenia
Armenia;Central Bank of Armenia;Isahak Isahakyan;Chair;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia;Chairmen of the Central Bank of Armenia
Armenia;Central Bank of Armenia;Martin Galstyan;Chair;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia;Chairmen of the Central Bank of Armenia
Armenia;Central Bank of Armenia;Tigran Sargsyan;Chair;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Armenia;Chairmen of the Central Bank of Armenia
Australia;Reserve Bank of Australia;Bernie Fraser (economist);Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia;Governors of the Reserve Bank of Australia
Australia;Reserve Bank of Australia;Bob Johnston (economist);Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia;Governors of the Reserve Bank of Australia
Australia;Reserve Bank of Australia;Glenn Stevens;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia;Governors of the Reserve Bank of Australia
Australia;Reserve Bank of Australia;H. C. Coombs;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia;Governors of the Reserve Bank of Australia
Australia;Reserve Bank of Australia;H. M. Knight;Governor;;;wikipedia_categories;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Australia;Governors of the Reserve Bank of Australia
