country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Afghanistan;Da Afghanistan Bank;Anwar-ul-Haq Ahady;President / Governor;2002;2004;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Noorullah Delawari;President / Governor;2004;2007;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Abdul Qadir Fitrat;President / Governor;2007;2011;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Khalilullah Sediq;President / Governor;2015;2019;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Khan Afzal Hadawal;President / Governor;2015;2015;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Wahidullah Nosher;President / Governor;2019;2020;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Ajmal Ahmady;President / Governor;2020;2021;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Haji Mohammad Idris, during Taliban era;President / Governor;2021;2021;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Afghanistan;Da Afghanistan Bank;Mullah Hidayatullah Badri, during Taliban era;President / Governor;2023;En cargo;kof;kof_workbook_governors_v2023;https://dab.gov.af;AFG
Albania;Bank of Albania;Ilir Hoti;President / Governor;1992;1993;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Dylber Vrioni;President / Governor;1993;1994;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Kristaq Luniku;President / Governor;1994;1997;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Qamil Tusha;President / Governor;1997;1997;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Shkëlqim Cani;President / Governor;1997;2004;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Ardian Fullani;President / Governor;2004;2014;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Albania;Bank of Albania;Gent Sejko;President / Governor;2015;En cargo;kof;kof_workbook_governors_v2023;https://www.bankofalbania.org;ALB
Algeria;Bank of Algeria;Seghir Mostefai;President / Governor;1962;1981;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Mahfoud Aoufi;President / Governor;1981;1982;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Rachid Bouraoui;President / Governor;1982;1985;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Bader Eddine Nouioua;President / Governor;1985;1989;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Abderrahmane Hadj-Nacer;President / Governor;1989;1992;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Abdelwahab Keramane;President / Governor;1992;2001;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Mohamed Loukal;President / Governor;2016;2019;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Amar Hiouani;President / Governor;2019;2019;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Benabderrahmane Aymane;President / Governor;2019;2020;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Rosthom Fadli;President / Governor;2020;2020;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Rosthom Fadli;President / Governor;2020;2022;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Algeria;Bank of Algeria;Salah Eddine Taleb;President / Governor;2022;En cargo;kof;kof_workbook_governors_v2023;https://www.bank-of-algeria.dz;DZA
Angola;National Bank of Angola;Ismael Martins;President / Governor;1976;1978;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Victor de Carvalho;President / Governor;1978;1982;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Augusto de Matos;President / Governor;1982;1988;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Antonio Inacio;President / Governor;1989;1990;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Cunha Neto;President / Governor;1990;1990;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Fernando Teixeira;President / Governor;1990;1992;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Sebastiao Lavrador;President / Governor;1992;1993;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Generoso Almeida;President / Governor;1993;1995;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Antonio Furtado;President / Governor;1995;1996;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Sebastiao Lavrador;President / Governor;1996;1999;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Aguinaldo Jaime;President / Governor;1999;2002;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Amadeu Mauricio;President / Governor;2002;2009;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Abrahao Gourgel;President / Governor;2009;2010;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Angola;National Bank of Angola;Jose de Lima Massano;President / Governor;2010;2015;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
