country,central_bank_name,status,name,role,period
Chile,Central Bank of Chile,current,Rosanna Costa,Presidente,Feb 2022 - Present
Chile,Central Bank of Chile,current,Pablo García,Consejero,Jan 2024 - Present
Chile,Central Bank of Chile,current,Stephany Griffith-Jones,Consejera,Jan 2022 - Present
Chile,Central Bank of Chile,current,Luis Felipe Céspedes,Consejero,Jan 2023 - Present
Chile,Central Bank of Chile,current,Claudio Soto,Consejero,Jan 2024 - Present
Chile,Central Bank of Chile,historical,Mario Marcel C.,Presidente,Dec 2016 - Feb 2022
Chile,Central Bank of Chile,historical,Rodrigo Vergara M.,Presidente,Dec 2011 - Dec 2016
Chile,Central Bank of Chile,historical,José De Gregorio R.,Presidente,Dec 2007 - Dec 2011
Chile,Central Bank of Chile,historical,Vittorio Corbo L.,Presidente,Jun 2003 - Dec 2007
Chile,Central Bank of Chile,historical,Carlos Massad A.,Presidente,Dec 1996 - Jun 2003
Chile,Central Bank of Chile,historical,Roberto Zahler F.,Presidente,Dec 1991 - Dec 1996
Chile,Central Bank of Chile,historical,Andrés Bianchi L.,Presidente,Dec 1990 - Dec 1991
Chile,Central Bank of Chile,historical,Rosanna Costa,Consejera,Jan 2017 - Feb 2022
Chile,Central Bank of Chile,historical,Alberto Naudon,Consejero,Jan 2019 - Jan 2024
Chile,Central Bank of Chile,historical,Pablo García,Consejero,Jan 2014 - Jan 2024
Chile,Central Bank of Chile,historical,Joaquín Vial,Consejero,Jan 2015 - Jan 2020
Chile,Central Bank of Chile,historical,Juan Andrés Fontaine,Consejero,Jan 2010 - Jan 2015
Chile,Central Bank of Chile,historical,Jorge Desormeaux,Consejero,Jan 2005 - Jan 2015
Chile,Central Bank of Chile,historical,Enrique Marshall,Consejero,Jan 2005 - Jan 2015
Colombia,Bank of the Republic,current,Leonardo Villar Gómez,Gerente General (Governor),Current
Colombia,Bank of the Republic,current,Ricardo Bonilla González,Ministro de Hacienda y Crédito Público (Minister of Finance and Public Credit),Current
Colombia,Bank of the Republic,current,Alexander López Chávez,Director del Departamento Nacional de Planeación (Director of the National Planning Department),Current
Colombia,Bank of the Republic,current,Roberto Steiner,Miembro de la Junta Directiva (Board Member),Current
Colombia,Bank of the Republic,current,Mauricio Villamizar Villegas,Miembro de la Junta Directiva (Board Member),Current
Colombia,Bank of the Republic,current,Bibiana Taboada Arango,Miembro de la Junta Directiva (Board Member),Current
Colombia,Bank of the Republic,current,Jaime Jaramillo Vallejo,Miembro de la Junta Directiva (Board Member),Current
Colombia,Bank of the Republic,current,Olga Lucía Acosta Guzmán,Miembro de la Junta Directiva (Board Member),Current
Colombia,Bank of the Republic,historical,Juan José Echavarría Soto,Gerente General (Governor),2017-2020
Colombia,Bank of the Republic,historical,José Darío Uribe Escobar,Gerente General (Governor),2005-2016
Colombia,Bank of the Republic,historical,Miguel Urrutia Montoya,Gerente General (Governor),1993-2004
Colombia,Bank of the Republic,historical,Luis Ángel Arango,Gerente General (Governor),1947-1957
Colombia,Bank of the Republic,historical,Félix Salazar Jaramillo,Gerente General (Governor),1923-1927
Cuba,Central Bank of Cuba,current,Marta Sabina Wilson González,President,2019-present
Cuba,Central Bank of Cuba,current,Francisco Mayobre Lence,First Vice President,2019-present
Cuba,Central Bank of Cuba,current,Yamile Bárbara Ramos Morfa,Vice President,2019-present
Cuba,Central Bank of Cuba,current,Eloy Álvarez Martínez,Vice President,2019-present
Cuba,Central Bank of Cuba,historical,Ernesto Medina Villalobos,President,2017-2019
Cuba,Central Bank of Cuba,historical,Irma Martínez Castrillón,President,2009-2017
Cuba,Central Bank of Cuba,historical,Francisco Soberón Valdés,President,1997-2009
Dominican Republic,Central Bank of the Dominican Republic,current,Héctor Valdez Albizu,Governor of the Central Bank and President of the Monetary Board,August 2004 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,José Manuel Vicente,Minister of Finance (ex officio member of the Monetary Board),August 2020 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Miguel Ceara Hatton,"Minister of Economy, Planning and Development (ex officio member of the Monetary Board)",August 2020 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Adriano Miguel Tejada,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Jaime Aristy Escuder,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Julio César Llibre Salcedo,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Sergia Rocío Gómez Pérez,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,George Manuel Castañeda Méndez,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,current,Isidoro Santana,Member of the Monetary Board appointed by the President,2022 - Present
Dominican Republic,Central Bank of the Dominican Republic,historical,Manuel Ruiz Tejada,Governor of the Central Bank,1947-1950
Dominican Republic,Central Bank of the Dominican Republic,historical,Diógenes H. Fernández,Governor of the Central Bank,1960-1976
Dominican Republic,Central Bank of the Dominican Republic,historical,Bernardo Vega,Governor of the Central Bank,1984-1987
