country,central_bank_name,PName_original,PName,first,last,Position,category_name,category_url
,the Bank of the Lao P.D.R.,Cheuang Sombounkhanh,Cheuang Sombounkhanh,Cheuang,Sombounkhanh,Governor,Governors of the Bank of the Lao P.D.R.,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Lao_P.D.R.
,the Bank of the Lao P.D.R.,Pany Yathotou,Pany Yathotou,Pany,Yathotou,Governor,Governors of the Bank of the Lao P.D.R.,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Lao_P.D.R.
,the Bank of the Lao P.D.R.,Soth Phetrasy,Soth Phetrasy,Soth,Phetrasy,Governor,Governors of the Bank of the Lao P.D.R.,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Lao_P.D.R.
,the Bank of the Lao P.D.R.,Soukanh Mahalath,Soukanh Mahalath,Soukanh,Mahalath,Governor,Governors of the Bank of the Lao P.D.R.,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Lao_P.D.R.
,the Bank of the Republic (Colombia),Miguel Urrutia Montoya,Miguel Urrutia Montoya,Miguel,Urrutia Montoya,Governor,Governors of the Bank of the Republic (Colombia),https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Republic_(Colombia)
,the Banque Centrale du Congo,Albert Ndele,Albert Ndele,Albert,Ndele,Governor,Governors of the Banque Centrale du Congo,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
,the Banque Centrale du Congo,Jules Fontaine Sambwa,Jules Fontaine Sambwa,Jules,Fontaine Sambwa,Governor,Governors of the Banque Centrale du Congo,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
,the Banque Centrale du Congo,List of governors of the Banque Centrale du Congo,List of governors of the Banque Centrale du Congo,List,of governors of the Banque Centrale du Congo,Governor,Governors of the Banque Centrale du Congo,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
,the Banque Centrale du Congo,Malangu Kabedi Mbuyi,Malangu Kabedi Mbuyi,Malangu,Kabedi Mbuyi,Governor,Governors of the Banque Centrale du Congo,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
,the Banque Centrale du Congo,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre,Pay-Pay wa Syakasighe,Governor,Governors of the Banque Centrale du Congo,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_Centrale_du_Congo
,the Banque de France,Adolphe Vuitry,Adolphe Vuitry,Adolphe,Vuitry,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Antoine Maurice Apollinaire d'Argout,Antoine Maurice Apollinaire d'Argout,Antoine,Maurice Apollinaire d'Argout,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Charles Le Bègue de Germiny,Charles Le Bègue de Germiny,Charles,Le Bègue de Germiny,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Christian Noyer,Christian Noyer,Christian,Noyer,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Emmanuel Crétet,Emmanuel Crétet,Emmanuel,Crétet,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Emmanuel Monick,Emmanuel Monick,Emmanuel,Monick,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,François Villeroy de Galhau,François Villeroy de Galhau,François,Villeroy de Galhau,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Governor of the Bank of France,Governor of the Bank of France,Governor,of the Bank of France,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Gustave Rouland,Gustave Rouland,Gustave,Rouland,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Jacques de Larosière,Jacques de Larosière,Jacques,de Larosière,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
,the Banque de France,Jacques Laffitte,Jacques Laffitte,Jacques,Laffitte,Governor,Governors of the Banque de France,https://en.wikipedia.org/wiki/Category:Governors_of_the_Banque_de_France
