country,central_bank_name,wikipedia_url,official_website,board_page_url,discovery_method,member_name,member_role,source_title,source_snippet
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,The Governing Board,Organisational structure Organisational structure shall be a collective body of the Bank of Abkhazia. The Governing Boar,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of Abkhazia. The Governing Board shall set guidelines for the activities of the Bank of Abkhazia and exercise general guidance of the Bank of Abkhazia. The Governing Board shall be comprised 
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Abkhazia. The Governing Board,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of shall se,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of Abkhazia. The Governing Board shall set guidelines for the activities of the Bank of Abkhazia and exercise general guidance of the Bank of Abkhazia. The Governing Board shall be comprised 
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Governing Board. Members,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of Abkhazia,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of Abkhazia. The Governing Board shall set guidelines for the activities of the Bank of Abkhazia and exercise general guidance of the Bank of Abkhazia. The Governing Board shall be comprised 
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Governing Board,Organisational structure Organisational structure The shall be a collective body of the Bank of Abkhazia. The Governing,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,Organisational structure Organisational structure The Governing Board shall be a collective body of the Bank of Abkhazia. The Governing Board shall set guidelines for the activities of the Bank of Abkhazia and exercise general guidance of the Bank of Abkhazia. The Governing Board shall be comprised 
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,The Governing Board,shall be comprised of the Chairman of the Bank of Abkhazia and six members of the Governing Board. Members of the Govern,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The Governing Board shall be comprised of the Chairman of the Bank of Abkhazia and six members of the Governing Board. Members of the Governing Board shall work in the Bank of Abkhazia on a full-time basis.
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Governing Board. Members,The Governing Board shall be comprised of the Chairman of the Bank of Abkhazia and six members of the of the Governing B,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The Governing Board shall be comprised of the Chairman of the Bank of Abkhazia and six members of the Governing Board. Members of the Governing Board shall work in the Bank of Abkhazia on a full-time basis.
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Governing Board,The shall be comprised of the Chairman of the Bank of Abkhazia and six members of the Governing Board. Members of the Go,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The Governing Board shall be comprised of the Chairman of the Bank of Abkhazia and six members of the Governing Board. Members of the Governing Board shall work in the Bank of Abkhazia on a full-time basis.
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,The Bank,of Abkhazia shall be headed by the Chairman appointed by the People’s Assembly of the Republic of Abkhazia for a term of,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The Bank of Abkhazia shall be headed by the Chairman appointed by the People’s Assembly of the Republic of Abkhazia for a term of five years by a majority vote of the total number of deputies.
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,The President,of the Republic of Abkhazia shall appoint an Acting Chairman of the Bank of Abkhazia from among the members of the Gover,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The President of the Republic of Abkhazia shall appoint an Acting Chairman of the Bank of Abkhazia from among the members of the Governing Board for the term necessary for the People’s Assembly of the Republic of Abkhazia to appoint the Chairman of the Bank of Abkhazia. The People’s Assembly of the 
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,homepage_link,Acting Chairman,The President of the Republic of Abkhazia shall appoint an of the Bank of Abkhazia from among the members of the Governi,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,The President of the Republic of Abkhazia shall appoint an Acting Chairman of the Bank of Abkhazia from among the members of the Governing Board for the term necessary for the People’s Assembly of the Republic of Abkhazia to appoint the Chairman of the Bank of Abkhazia. The People’s Assembly of the 
