PName_original,PName,iso3,first,last,iso3Birth,Start_year,End_year,Start_month,End_month,Position,Sex,Birth_year,Education,BA_or_MA,MBA,PhD,CountryBirth,CityBirth,name
H. Mehran,Hassanali Mehran,ABW,hassanali,mehran,ABW,,,,,President / Governor,0.0,,,,,,,,Hassanali Mehran
Hassanali Mehran,Hassanali Mehran,ABW,hassanali,mehran,ABW,,,,,President / Governor,0.0,,,,,,,,Hassanali Mehran
Elias Mansur,Elias Mansur,ABW,elias,mansur,ABW,,,,,President / Governor,0.0,,,,,,,,Elias Mansur
A. R. Caram,A Caram,ABW,a,caram,ABW,,,,,President / Governor,0.0,,,,,,,,A Caram
Jeanette R. Semeleer,J Semeleer,ABW,j,semeleer,ABW,,,,,President / Governor,1.0,,,,,,,,J Semeleer
Jeanette Semeleer,Jeanette Semeleer,ABW,jeanette,semeleer,ABW,,,,,President / Governor,1.0,,,,,,,,Jeanette Semeleer
A. J.T. Williams,A Williams,ABW,a,williams,ABW,,,,,President / Governor,0.0,,,,,,,,A Williams
E. den Dunnen,Emile Dunnen,ABW,emile,dunnen,ABW,,,,,President / Governor,0.0,,,,,,,,Emile Dunnen
A. S. Irausquin,Arthur Irausquin,ABW,arthur,irausquin,ABW,,,,,President / Governor,0.0,,,,,,,,Arthur Irausquin
J-H. du Marchie Sarvaas,J Sarvaas,ABW,j,sarvaas,ABW,,,,,President / Governor,0.0,,,,,,,,J Sarvaas
A. R. Caram,Anthony Caram,ABW,anthony,caram,ABW,,,,,President / Governor,0.0,,,,,,,,Anthony Caram
R. Henriquez,Robertico Henriquez,ABW,robertico,henriquez,ABW,,,,,President / Governor,0.0,,,,,,,,Robertico Henriquez
Noorullah Delawari,Noorullah Delawari,AFG,noorullah,delawari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delawari
Noorullah Delawari,Noorullah Delawari,AFG,noorullah,delawari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delawari
Noorullah Delawari,Noorullah Delawari,AFG,noorullah,delawari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delawari
Ghulam Mohammad Yalaqi,Ghulam Yalaqi,AFG,ghulam,yalaqi,AFG,,,,,Board member,0.0,,,,,,,,Ghulam Yalaqi
Mohammad Qasim Hashimzai,Mohammad Hashimzai,AFG,mohammad,hashimzai,AFG,,,,,Board member,0.0,,,,,,,,Mohammad Hashimzai
Khalil Sediq,Khalil Sediq,AFG,khalil,sediq,AFG,,,,,President / Governor,0.0,,,,,,,,Khalil Sediq
Anwar ul-Haq Ahady,Anwar Ahady,AFG,anwar,ahady,AFG,,,,,President / Governor,0.0,,,,,,,,Anwar Ahady
Mohammad Qayoumi,Mohammad Qayoumi,AFG,mohammad,qayoumi,AFG,,,,,Board member,0.0,,,,,,,,Mohammad Qayoumi
Shah Mohammad Mehrabi,Shah Mehrabi,AFG,shah,mehrabi,AFG,,,,,Board member,0.0,,,,,,,,Shah Mehrabi
Abdul Qadeer Fitrat,Abdul Fitrat,AFG,abdul,fitrat,AFG,,,,,President / Governor,0.0,,,,,,,,Abdul Fitrat
Omar Zakhilwal,Omar Zakhilwal,AFG,omar,zakhilwal,AFG,,,,,Board member,0.0,,,,,,,,Omar Zakhilwal
Katrin Fakiri,Katrin Fakiri,AFG,katrin,fakiri,AFG,,,,,Board member,0.0,,,,,,,,Katrin Fakiri
Hidayatullah Badri,Hidayatullah Badri,AFG,hidayatullah,badri,AFG,,,,,President / Governor,0.0,,,,,,,,Hidayatullah Badri
Noor Ahmad Agha,Noor Agha,AFG,noor,agha,AFG,,,,,President / Governor,0.0,,,,,,,,Noor Agha
Mohibullah Safi,Mohibullah Safi,AFG,mohibullah,safi,AFG,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Mohibullah Safi
Ajmal Ahmady,Ajmal Ahmady,AFG,ajmal,ahmady,AFG,,,,,President / Governor,0.0,,,,,,,,Ajmal Ahmady
Nargis Nehan,Nargis Nehan,AFG,nargis,nehan,AFG,,,,,Board member,1.0,,,,,,,,Nargis Nehan
Wahidullah Nosher,Wahidullah Nosher,AFG,wahidullah,nosher,AFG,,,,,President / Governor,0.0,,,,,,,,Wahidullah Nosher
Habibullah Malie Achekzai,Habibullah Achekzai,AFG,habibullah,achekzai,AFG,,,,,President / Governor,0.0,,,,,,,,Habibullah Achekzai
Abdul Hay Azizi,Abdul Azizi,AFG,abdul,azizi,AFG,,,,,President / Governor,0.0,,,,,,,,Abdul Azizi
Mohammad Hakim Khan,Mohammad Khan,AFG,mohammad,khan,AFG,,,,,President / Governor,0.0,,,,,,,,Mohammad Khan
Ghulam Hussain Jujeni,Ghulam Jujeni,AFG,ghulam,jujeni,AFG,,,,,President / Governor,0.0,,,,,,,,Ghulam Jujeni
Mehrabuddin Paktiawal,Mehrabuddin Paktiawal,AFG,mehrabuddin,paktiawal,AFG,,,,,President / Governor,0.0,,,,,,,,Mehrabuddin Paktiawal
Abdul Basir Ranjbar,Abdul Ranjbar,AFG,abdul,ranjbar,AFG,,,,,President / Governor,0.0,,,,,,,,Abdul Ranjbar
Mohammad Kabir,Mohammad Kabir,AFG,mohammad,kabir,AFG,,,,,President / Governor,0.0,,,,,,,,Mohammad Kabir
Khalilullah Sediq,Khalil Sediq,AFG,khalil,sediq,AFG,,,,,President / Governor,0.0,,,,,,,,Khalil Sediq
Abdul Wahab Asefi,Abdul Asefi,AFG,abdul,asefi,AFG,,,,,President / Governor,0.0,,,,,,,,Abdul Asefi
Najibullah Sahu,Najibullah Sahu,AFG,najibullah,sahu,AFG,,,,,President / Governor,0.0,,,,,,,,Najibullah Sahu
Mohammad Hakim Khan,Mohammad Khan,AFG,mohammad,khan,AFG,,,,,President / Governor,0.0,,,,,,,,Mohammad Khan
Ehsanullah Ehsan,Ehsanullah Ehsan,AFG,ehsanullah,ehsan,AFG,,,,,President / Governor,0.0,,,,,,,,Ehsanullah Ehsan
Abdul Samad Sani,Abdul Sani,AFG,abdul,sani,AFG,,,,,President / Governor,0.0,,,,,,,,Abdul Sani
Mohammad Ahmadi,Mohammad Ahmadi,AFG,mohammad,ahmadi,AFG,,,,,President / Governor,0.0,,,,,,,,Mohammad Ahmadi
Noorullah Delwari,Noorullah Delwari,AFG,noorullah,delwari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delwari
Samiullah Ibrahimi,Samiullah Ibrahimi,AFG,samiullah,ibrahimi,AFG,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Samiullah Ibrahimi
Abdul Ghani Ghawasi,Abdul Ghawasi,AFG,abdul,ghawasi,AFG,,,,,Board member,0.0,,,,,,,,Abdul Ghawasi
Noorullah Delwari,Noorullah Delwari,AFG,noorullah,delwari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delwari
