country,central_bank,wikipedia_bank_url,source_type,source_label,role,governor_name,start_date,end_date,row_data
Afghanistan,Da Afghanistan Bank,https://en.wikipedia.org/wiki/Da_Afghanistan_Bank,infobox,Governor,Governor,Noor Ahmad Agha,,,{'Governor': 'Noor Ahmad Agha [ 2 ]'}
Albania,Bank of Albania,https://en.wikipedia.org/wiki/Bank_of_Albania,infobox,Governor,Governor,Gent Sejko,,,{'Governor': 'Gent Sejko'}
Algeria,Bank of Algeria,https://en.wikipedia.org/wiki/Bank_of_Algeria,infobox,Governor,Governor,Mouatassem Boudiaf,,,{'Governor': 'Mouatassem Boudiaf'}
Angola,National Bank of Angola,https://en.wikipedia.org/wiki/National_Bank_of_Angola,infobox,Governor,Governor,Manuel António Tiago Dias,,,{'Governor': 'Manuel António Tiago Dias'}
Anguilla,Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank,infobox,Governor,Governor,Timothy Antoine,,,{'Governor': 'Timothy Antoine'}
Antigua and Barbuda,Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank,infobox,Governor,Governor,Timothy Antoine,,,{'Governor': 'Timothy Antoine'}
Argentina,Central Bank of Argentina,https://en.wikipedia.org/wiki/Central_Bank_of_Argentina,infobox,President,President,Santiago Bausili,,,{'President': 'Santiago Bausili'}
Armenia,Central Bank of Armenia,https://en.wikipedia.org/wiki/Central_Bank_of_Armenia,infobox,Governor,Governor,Martin Galstyan,,,{'Governor': 'Martin Galstyan'}
Aruba,Central Bank of Aruba,https://en.wikipedia.org/wiki/Central_Bank_of_Aruba,infobox,President,President,Jeanette R Semeleer,,,{'President': 'Jeanette R Semeleer'}
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Denison Miller,June 1912,June 1923,"{'#': '1', 'Governor': 'Denison Miller', 'Post-nominals': 'KCMG', 'Start': 'June 1912', 'End': 'June 1923', 'Ref': '[10][11]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,James Kell,October 1924,October 1926,"{'#': '2', 'Governor': 'James Kell', 'Start': 'October 1924', 'End': 'October 1926', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Sir Ernest Riddle,October 1926,February 1938,"{'#': '3', 'Governor': 'Sir Ernest Riddle', 'Start': 'October 1926', 'End': 'February 1938', 'Ref': '[10][12]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Sir Henry Sheehan,February 1938,March 1941,"{'#': '4', 'Governor': 'Sir Henry Sheehan', 'Post-nominals': 'CBE', 'Start': 'February 1938', 'End': 'March 1941', 'Ref': '[10][13]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Hugh Armitage,July 1941,December 1948,"{'#': '5', 'Governor': 'Hugh Armitage', 'Post-nominals': 'CMG', 'Start': 'July 1941', 'End': 'December 1948', 'Ref': '[10][14]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,H. C. Coombs,January 1949,January 1960,"{'#': '6', 'Governor': 'H. C. Coombs', 'Start': 'January 1949', 'End': 'January 1960', 'Ref': '[10][15]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,H. C. Coombs,January 1960,July 1968,"{'#': '1', 'Governor': 'H. C. Coombs', 'Start': 'January 1960', 'End': 'July 1968', 'Ref': '[10][15]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Sir J. G. Phillips,July 1968,July 1975,"{'#': '2', 'Governor': 'Sir J. G. Phillips', 'Post-nominals': 'KBE', 'Start': 'July 1968', 'End': 'July 1975', 'Ref': '[10][16]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Sir H. M. Knight,July 1975,August 1982,"{'#': '3', 'Governor': 'Sir H. M. Knight', 'Post-nominals': 'KBE, DSC', 'Start': 'July 1975', 'End': 'August 1982', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Bob Johnston,August 1982,July 1989,"{'#': '4', 'Governor': 'Bob Johnston', 'Post-nominals': 'AC', 'Start': 'August 1982', 'End': 'July 1989', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Bernie Fraser,September 1989,September 1996,"{'#': '5', 'Governor': 'Bernie Fraser', 'Start': 'September 1989', 'End': 'September 1996', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Ian Macfarlane,September 1996,September 2006,"{'#': '6', 'Governor': 'Ian Macfarlane', 'Post-nominals': 'AC', 'Start': 'September 1996', 'End': 'September 2006', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Glenn Stevens,18 September 2006,17 September 2016,"{'#': '7', 'Governor': 'Glenn Stevens', 'Post-nominals': 'AC', 'Start': '18 September 2006', 'End': '17 September 2016', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Philip Lowe,18 September 2016,17 September 2023,"{'#': '8', 'Governor': 'Philip Lowe', 'Start': '18 September 2016', 'End': '17 September 2023', 'Ref': '[10]'}"
Australia,Reserve Bank of Australia,https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia,wikitable,# Governor Post-nominals Start End Ref | List of Governors,Governor,Michele Bullock,18 September 2023,,"{'#': '9', 'Governor': 'Michele Bullock', 'Start': '18 September 2023', 'End': '–', 'Ref': '[10]'}"
Austria,European Central Bank ( Oesterreichische Nationalbank ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Azerbaijan,Central Bank of Azerbaijan,https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan,wikitable,Name Took office Left office Notes | Governors,Governor,Cavanşir Abdullayev,1992,1993,"{'Name': 'Cavanşir Abdullayev', 'Took office': '1992', 'Left office': '1993', 'Notes': '[10]'}"
Azerbaijan,Central Bank of Azerbaijan,https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan,wikitable,Name Took office Left office Notes | Governors,Governor,Qalib Ağayev,1993,1994,"{'Name': 'Qalib Ağayev\xa0[az]', 'Took office': '1993', 'Left office': '1994', 'Notes': '[11][12]'}"
Azerbaijan,Central Bank of Azerbaijan,https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan,wikitable,Name Took office Left office Notes | Governors,Governor,Elman Rustamov,January 1995,April 2022,"{'Name': 'Elman Rustamov', 'Took office': 'January 1995', 'Left office': 'April 2022', 'Notes': '[13][14]'}"
Azerbaijan,Central Bank of Azerbaijan,https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan,wikitable,Name Took office Left office Notes | Governors,Governor,Taleh Kazimov,April 2022,Incumbent,"{'Name': 'Taleh Kazimov', 'Took office': 'April 2022', 'Left office': 'Incumbent', 'Notes': '[14]'}"
Bahamas,Central Bank of The Bahamas,https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas,infobox,Governor,Governor,John A Rolle,,,{'Governor': 'John A Rolle'}
Bahrain,Central Bank of Bahrain,https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain,infobox,Key people,,"Khalid Humaidan , Governor",,,"{'Key people': 'Khalid Humaidan , Governor'}"
Bangladesh,Bangladesh Bank,https://en.wikipedia.org/wiki/Bangladesh_Bank,infobox,Governor,Governor,Md Mostaqur Rahman,,,{'Governor': 'Md Mostaqur Rahman'}
Bangladesh,Bangladesh Bank,https://en.wikipedia.org/wiki/Bangladesh_Bank,infobox,Key people,,Nurun Nahar ( Deputy Governor ) Dr. Md. Habibur Rahman ( Deputy Governor ) Md. Zakir Hossain Chowdhury ( Deputy Governor ) Dr. Md. Kabir Ahmed ( Deputy Governor ),,,{'Key people': 'Nurun Nahar ( Deputy Governor ) Dr. Md. Habibur Rahman ( Deputy Governor ) Md. Zakir Hossain Chowdhury ( Deputy Governor ) Dr. Md. Kabir Ahmed ( Deputy Governor )'}
Barbados,Central Bank of Barbados,https://en.wikipedia.org/wiki/Central_Bank_of_Barbados,infobox,Governor,Governor,Kevin Greenidge,,,{'Governor': 'Kevin Greenidge'}
Belarus,National Bank of the Republic of Belarus,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus,infobox,Chairman,Chair,Roman Golovchenko,,,{'Chairman': 'Roman Golovchenko'}
Belgium,European Central Bank ( National Bank of Belgium ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Belize,Central Bank of Belize,https://en.wikipedia.org/wiki/Central_Bank_of_Belize,infobox,Governor,Governor,Kareem Michael,,,{'Governor': 'Kareem Michael'}
Benin,Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States,infobox,Governor,Governor,Jean-Claude Brou,,,{'Governor': 'Jean-Claude Brou'}
Bermuda,Bermuda Monetary Authority,https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority,infobox,Chairman,Chair,Donald Scott,,,{'Chairman': 'Donald Scott'}
Bolivia,Central Bank of Bolivia,https://en.wikipedia.org/wiki/Central_Bank_of_Bolivia,infobox,President,President,Roger Edwin Rojas Ulo,,,{'President': 'Roger Edwin Rojas Ulo'}
Bosnia and Herzegovina,Central Bank of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina,infobox,Governor,Governor,Jasmina Selimović,,,{'Governor': 'Jasmina Selimović'}
Botswana,Bank of Botswana,https://en.wikipedia.org/wiki/Bank_of_Botswana,infobox,Governor,Governor,Cornelius Karlens Dekop,,,{'Governor': 'Cornelius Karlens Dekop'}
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Dênio Chagas Nogueira (1920–1997),12 April 1965,21 March 1967,"{'No.': '1', 'President': 'Dênio Chagas Nogueira (1920–1997)', 'Took office': '12\xa0April\xa01965', 'Left office': '21\xa0March\xa01967', 'Time in office': '1\xa0year, 343\xa0days', 'Appointed by': 'Castelo Branco'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Rui Aguiar da Silva Leme (1925–1997),31 March 1967,12 February 1968,"{'No.': '2', 'President': 'Rui Aguiar da Silva Leme (1925–1997)', 'Took office': '31\xa0March\xa01967', 'Left office': '12\xa0February\xa01968', 'Time in office': '318\xa0days', 'Appointed by': 'Costa e Silva'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Ary Burger (1921–2010) Acting,12 February 1968,20 February 1968,"{'No.': '–', 'President': 'Ary Burger (1921–2010) Acting', 'Took office': '12\xa0February\xa01968', 'Left office': '20\xa0February\xa01968', 'Time in office': '8\xa0days', 'Appointed by': 'Costa e Silva'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Ernane Galvêas (1922–2022),20 February 1968,15 March 1974,"{'No.': '3', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '20\xa0February\xa01968', 'Left office': '15\xa0March\xa01974', 'Time in office': '6\xa0years, 23\xa0days', 'Appointed by': 'Costa e Silva'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Paulo Hortêncio Pereira Lima (born 1930),15 March 1974,15 March 1979,"{'No.': '4', 'President': 'Paulo Hortêncio Pereira Lima (born 1930)', 'Took office': '15\xa0March\xa01974', 'Left office': '15\xa0March\xa01979', 'Time in office': '5\xa0years, 0\xa0days', 'Appointed by': 'Ernesto Geisel'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Carlos Brandão (1928–2016),15 March 1979,17 August 1979,"{'No.': '5', 'President': 'Carlos Brandão (1928–2016)', 'Took office': '15\xa0March\xa01979', 'Left office': '17\xa0August\xa01979', 'Time in office': '155\xa0days', 'Appointed by': 'João Figueiredo'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Ernane Galvêas (1922–2022),17 August 1979,18 January 1980,"{'No.': '6', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '17\xa0August\xa01979', 'Left office': '18\xa0January\xa01980', 'Time in office': '154\xa0days', 'Appointed by': 'João Figueiredo'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Carlos Geraldo Langoni (1944–2021),18 January 1980,5 September 1983,"{'No.': '7', 'President': 'Carlos Geraldo Langoni (1944–2021)', 'Took office': '18\xa0January\xa01980', 'Left office': '5\xa0September\xa01983', 'Time in office': '3\xa0years, 230\xa0days', 'Appointed by': 'João Figueiredo'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Affonso Celso Pastore (1939–2024),5 September 1983,15 March 1985,"{'No.': '8', 'President': 'Affonso Celso Pastore (1939–2024)', 'Took office': '5\xa0September\xa01983', 'Left office': '15\xa0March\xa01985', 'Time in office': '1\xa0year, 191\xa0days', 'Appointed by': 'João Figueiredo'}"
