iso3,country,name,position,start_year,end_year,status,source_scraped,source_dataset,dataset_url
AFG,Afghanistan,Anwar-ul-Haq Ahady,President / Governor,2002,2004,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Noorullah Delawari,President / Governor,2004,2007,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Abdul Qadir Fitrat,President / Governor,2007,2011,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Khan Afzal Hadawal,President / Governor,2015,2015,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Khalilullah Sediq,President / Governor,2015,2019,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Wahidullah Nosher,President / Governor,2019,2020,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,Ajmal Ahmady,President / Governor,2020,2021,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,"Haji Mohammad Idris, during Taliban era",President / Governor,2021,2021,Histórico,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AFG,Afghanistan,"Mullah Hidayatullah Badri, during Taliban era",President / Governor,2023,En cargo,Actual,http://afghan-bios.info,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Ilir Hoti,President / Governor,1992,1993,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Dylber Vrioni,President / Governor,1993,1994,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Kristaq Luniku,President / Governor,1994,1997,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Qamil Tusha,President / Governor,1997,1997,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Shkëlqim Cani,President / Governor,1997,2004,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Ardian Fullani,President / Governor,2004,2014,Histórico,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ALB,Albania,Gent Sejko,President / Governor,2015,En cargo,Actual,http://www.bankofalbania.org/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
