iso3,source
ABW,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY
ABW,http://www.cbaruba.org/cba/home.do
ABW,http://www.cbaruba.org/cba/readBlob.do?id=679
ABW,https://www.centralbanking.com/central-banks/2480590/central-bank-of-aruba.
AFG,http://afghan-bios.info
AFG,http://dab.gov.af/en
AFG,http://old.dab.gov.af/en/page/about-the-bank/executive-board
AFG,http://www.afghan-bios.info/
AFG,http://www.centralbank.gov.af/
AFG,https://www.afghan-bios.info/
AFG,https://www.afghan-bios.info/index.php?option=com_afghanbios&id=3907&task=view&total=4276&start=2805&Itemid=2
AFG,https://www.bbc.com/news/world-asia-15868031
AFG,https://www.bloomberg.com/news/articles/2021-08-23/taliban-name-obscure-official-central-bank-chief-as-crisis-looms?leadSource=uverify%20wall
AFG,https://www.dab.gov.af/dab-history
AFG,https://www.reuters.com/world/asia-pacific/taliban-acting-finance-minister-becomes-central-bank-governor-2023-03-22/#:~:text=KABUL%2C%20March%2022%20(Reuters
ALB,http://www.bankofalbania.org/
ALB,https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/The_Governor/
ANT,http://www.centralbank.an/01_organizational_chart.php
ANT,http://www.centralbank.cw/about/charter
ANT,https://smn-news.com/st-maarten-st-martin-news/27472-emsley-tromp-resigns-as-president-of-cbcs.html
ANT,"https://stmaartennews.com/banking/bob-traa-appointed-central-bank-president/#:~:text=The%20position%20of%20president%20was,as%20President%20of%20the%20CBCS."
ANT,https://www.soualiganewsday.com/index.php?option=com_k2&view=item&id=28580:bob-traa-resigns-as-acting-president-of-cbcs&Itemid=536
ANT,https://www.thedailyherald.sx/islands/cbcs-top-income-lower-than-claimed
ANT,letter
AOA,http://www.bna.ao/
AOA,https://www.bna.ao/#/en/banco/galeria-governadores
AOA,https://www.centralbanking.com/central-banks/governance/people/3315146/angola-appoints-third-central-bank-governor-in-two-years
ARG,"Christoph Moser, e-mail"
ARG,homepage
ARG,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp
ARG,http://www.bcra.gov.ar/
ARM,http://www.cba.am/
ARM,http://www.cba.am/CBA_SITE/about/history/pat4.html?__locale=en
ARM,https://armedia.am/eng/news/82238/new-cenbank-president-to-take-office-june-13.html
ARM,https://www.cba.am/en/SitePages/achfinancialbankingsystem.aspx
ARM,https://www.cba.am/en/SitePages/acorganizationstructure.aspx
ARM,https://www.cba.am/en/sitepages/default.aspx
AUS,e-mail
AUS,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html
AUS,http://www.rba.gov.au/about-rba/people/gov.html
AUS,https://www.rba.gov.au/about-rba/history/governors/
AUT,e-mail
AUT,http://www.oenb.at/
AUT,https://www.oenb.at/Ueber-Uns/Organisation/Organe/Direktorium.html
AUT,https://www.oenb.at/en/About-Us/History/gouverneure-und-praesidenten.html
AUT,https://www.wienerzeitung.at/nachrichten/wirtschaft/oesterreich/516816_Nowotny-fuer-weitere-sechs-Jahre-als-Nationalbank-Chef-ernannt.html
AZE,http://www.cbar.az/en
AZE,https://en.cbar.az/pages/about-us/organizational-structure/management-board/
AZE,https://jam-news.net/taleh-kazimov-appointed-new-central-bank-head-replacing-elman-rustamov-after-27-years-in-office/
AZE,https://modern.az/iqtisadiyyat/342772/merkezi-bankin-sedrleri-abdullayevden-rustemova-kimi-fotolar/
AZE,https://www.cbar.az/organization/staff/detail/10
AZE,https://www.reuters.com/world/middle-east/azerbaijan-appoints-taleh-kazimov-central-bank-governor-2022-04-13/
BCEAO,"http://www.bceao.int/Le-Gouverneur,2311.html"
BCEAO,"http://www.bceao.int/Organigramme,65.html"
BCEAO,http://www.bceao.int/internet/bcweb.nsf/french.htm?OpenFrameSet
BCEAO,https://www.bceao.int/fr/content/dates-cles
BCEAO,https://www.bceao.int/fr/content/le-gouverneur
BDI,MS/IFS
BDI,"MS/IFS,"
BDI,http://www.brb.bi/
BDI,http://www.nationbynation.com/Burundi/Gov.html
BDI,https://www.brb.bi/en/content/structure-and-operation
BDI,https://www.brb.bi/en/node/9559
BEAC,e-mail
BEAC,http://www.beac.int/
BEAC,https://www.beac.int/beac/le-gouvernement-de-la-banque/
BEAC,https://www.centralbanking.com/central-banking/news/1591474/new-governor-bank-central-african-states
BEL,e-mail
BEL,http://www.nbb.be/pub/01_00_00_00_00/01_02_00_00_00/01_02_02_00_00.htm?l=de&t=bu
BEL,http://www.nbb.be/pub/01_00_00_00_00/01_02_00_00_00/OrgChart.htm?l=de
BEL,https://www.nbb.be/de
BEL,https://www.nbb.be/en/about-national-bank/administration-and-control/organs-bank/governor
BGD,MS/IFS
BGD,http://www.bangladesh-bank.org/
BGD,http://www.bangladesh-bank.org/about/governor.html
BGD,http://www.bangladesh-bank.org/aboutus/bbgovernors.php
BGD,http://www.bb.org.bd/governor/governor.php
BGD,https://www.bb.org.bd/
BGD,https://www.bb.org.bd/en/index.php/about/bbgovernors
BGD,https://www.thedailystar.net/top-news/news/govt-reappoints-fazle-kabir-bangladesh-bank-governor-1930853
BGR,http://www.bnb.bg/
BGR,http://www.bnb.bg/AboutUs/AUBNBGovernment/AUSGovernor/index.htm
BGR,http://www.bnb.bg/bnb/home.nsf/fsWebIndex?OpenFrameset
BGR,https://www.bnb.bg/AboutUs/AUHistory/AUHBNBGovernors/index.htm
BHR,email; MS
BHR,http://www.cbb.gov.bh
BHR,http://www.cbb.gov.bh/cmsrule/default.jsp
BHS,MS
BHS,e-mail
BHS,http://centralbankbahamas.com/about_board.lasso
BHS,http://www.centralbankbahamas.com/about_board.php
BHS,https://www.centralbankbahamas.com/former-governors
BHS,https://www.centralbankbahamas.com/the-board-executive-and-sr-management#governer
BIH,http://www.cbbh.ba/
BIH,http://www.cbbh.ba/Content/Read/119
BIH,http://www.cbbh.gov.ba/en/structure.html
BIH,https://www.cbbh.ba/Content/Read/119?lang=en
BLR,e-mail
BLR,http://www.nbrb.by/engl/today/board.asp
BLR,https://www.nbrb.by/engl/today/about/board/
BLZ,MS
BLZ,http://www.centralbank.org.bz/services1.asp?service=Brief+History
BLZ,https://www.centralbank.org.bz/past-governors
BMU,e-mail
BMU,http://www.bma.bm/
BMU,"https://www.state.gov/reports/2017-investment-climate-statements/bermuda/#:~:text=Bermuda%20does%20not%20have%20a,and%20soundness%20of%20financial%20institutions."
BOL,http://www.bcb.gob.bo/
BOL,http://www.bcb.gov.bo/sitio/loader1.php?n1=1&n2=5
BRA,Christoph Moser
BRA,email
BRA,http://www.bcb.gov.br/?ENGLISH
BRA,http://www.bcb.gov.br/Pre/Quemequem/ingl/presidentes/imagens/default-a.asp?idpai=govhistory&id=govhistory
BRB,MS
BRB,"Sturm/de Haan, e-mail: Bank notes Vol 16 no.1 May 2002"
BRB,http://www.centralbank.org.bb
BRB,http://www.centralbank.org.bb/
BRB,http://www.centralbank.org.bb/past-governors
BRN,http://www.ambd.gov.bn/about-ambd/board-management/board-of-directors
BRN,http://www.ambd.gov.bn/index.php/about-ambd/board-a-management/management
BRN,https://www.asiaasset.com/post/24783-bruneicentralbank-gte-0628
BRN,https://www.bdcb.gov.bn/about-bdcb/Board%20of%20Directors
BTN,e-mail
BTN,http://www.rma.org.bt/
