iso3,country,name,position,start_year,end_year,status
AFG,Afghanistan,Anwar-ul-Haq Ahady,President / Governor,2002,2004,Histórico
AFG,Afghanistan,Noorullah Delawari,President / Governor,2004,2007,Histórico
AFG,Afghanistan,Abdul Qadir Fitrat,President / Governor,2007,2011,Histórico
AFG,Afghanistan,Khan Afzal Hadawal,President / Governor,2015,2015,Histórico
AFG,Afghanistan,Khalilullah Sediq,President / Governor,2015,2019,Histórico
AFG,Afghanistan,Wahidullah Nosher,President / Governor,2019,2020,Histórico
AFG,Afghanistan,Ajmal Ahmady,President / Governor,2020,2021,Histórico
AFG,Afghanistan,"Haji Mohammad Idris, during Taliban era",President / Governor,2021,2021,Histórico
AFG,Afghanistan,"Mullah Hidayatullah Badri, during Taliban era",President / Governor,2023,En cargo,Actual
ALB,Albania,Ilir Hoti,President / Governor,1992,1993,Histórico
ALB,Albania,Dylber Vrioni,President / Governor,1993,1994,Histórico
ALB,Albania,Kristaq Luniku,President / Governor,1994,1997,Histórico
ALB,Albania,Qamil Tusha,President / Governor,1997,1997,Histórico
ALB,Albania,Shkëlqim Cani,President / Governor,1997,2004,Histórico
ALB,Albania,Ardian Fullani,President / Governor,2004,2014,Histórico
ALB,Albania,Gent Sejko,President / Governor,2015,En cargo,Actual
DZA,Algeria,Seghir Mostefai,President / Governor,1962,1981,Histórico
DZA,Algeria,Mahfoud Aoufi,President / Governor,1981,1982,Histórico
DZA,Algeria,Rachid Bouraoui,President / Governor,1982,1985,Histórico
DZA,Algeria,Bader Eddine Nouioua,President / Governor,1985,1989,Histórico
DZA,Algeria,Abderrahmane Hadj-Nacer,President / Governor,1989,1992,Histórico
DZA,Algeria,Abdelwahab Keramane,President / Governor,1992,2001,Histórico
DZA,Algeria,Mohamed Loukal,President / Governor,2016,2019,Histórico
DZA,Algeria,Amar Hiouani,President / Governor,2019,2019,Histórico
DZA,Algeria,Benabderrahmane Aymane,President / Governor,2019,2020,Histórico
DZA,Algeria,Rosthom Fadli,President / Governor,2020,2020,Histórico
DZA,Algeria,Salah Eddine Taleb,President / Governor,2022,En cargo,Actual
AOA,Angola,Ismael Martins,President / Governor,1976,1978,Histórico
AOA,Angola,Victor de Carvalho,President / Governor,1978,1982,Histórico
AOA,Angola,Augusto de Matos,President / Governor,1982,1988,Histórico
AOA,Angola,Antonio Inacio,President / Governor,1989,1990,Histórico
AOA,Angola,Cunha Neto,President / Governor,1990,1990,Histórico
AOA,Angola,Fernando Teixeira,President / Governor,1990,1992,Histórico
AOA,Angola,Sebastiao Lavrador (first term),President / Governor,1992,1993,Histórico
AOA,Angola,Generoso Almeida,President / Governor,1993,1995,Histórico
AOA,Angola,Antonio Furtado,President / Governor,1995,1996,Histórico
AOA,Angola,Sebastiao Lavrador,President / Governor,1996,1999,Histórico
AOA,Angola,Aguinaldo Jaime,President / Governor,1999,2002,Histórico
AOA,Angola,Amadeu Mauricio,President / Governor,2002,2009,Histórico
AOA,Angola,Abrahao Gourgel,President / Governor,2009,2010,Histórico
AOA,Angola,Jose de Lima Massano (first term),President / Governor,2010,2015,Histórico
AOA,Angola,Jose Pedro de Morais,President / Governor,2015,2016,Histórico
AOA,Angola,Walter Filipe,President / Governor,2016,2017,Histórico
AOA,Angola,Jose de Lima Massano,President / Governor,2017,En cargo,Actual
ARG,Argentina,Egidio Iannella,President / Governor,1969,1970,Histórico
ARG,Argentina,Daniel Fernandez,President / Governor,1970,1971,Histórico
ARG,Argentina,Ricardo Gruneisen,President / Governor,1971,1971,Histórico
ARG,Argentina,Carlos Brignone,President / Governor,1971,1972,Histórico
ARG,Argentina,Jorge Bermudez Emparanza,President / Governor,1972,1973,Histórico
ARG,Argentina,Alfredo Gomez Morales,President / Governor,1973,1974,Histórico
ARG,Argentina,Hernan Aldabe,President / Governor,1974,1974,Histórico
ARG,Argentina,Ricardo A. Cairoli,President / Governor,1974,1975,Histórico
ARG,Argentina,Emilio Mondelli,President / Governor,1975,1976,Histórico
ARG,Argentina,Eduardo A. Zalduendo,President / Governor,1976,1976,Histórico
ARG,Argentina,Alfredo G. Cassino,President / Governor,1976,1976,Histórico
ARG,Argentina,Adolfo C. Diz,President / Governor,1976,1981,Histórico
