iso3,name
ABW,A. J.T. Williams
ABW,A. R. Caram
ABW,A. S. Irausquin
ABW,E. den Dunnen
ABW,Elias Mansur
ABW,H. Mehran
ABW,Hassanali Mehran
ABW,J-H. du Marchie Sarvaas
ABW,Jeanette R. Semeleer
ABW,Jeanette Semeleer
ABW,R. Henriquez
AFG,Abdul Basir Ranjbar
AFG,Abdul Ghani Ghawasi
AFG,Abdul Hay Azizi
AFG,Abdul Qadeer Fitrat
AFG,Abdul Samad Sani
AFG,Abdul Wahab Asefi
AFG,Ajmal Ahmady
AFG,Anwar ul-Haq Ahady
AFG,Ehsanullah Ehsan
AFG,Ghulam Hussain Jujeni
AFG,Ghulam Mohammad Yalaqi
AFG,Habibullah Malie Achekzai
AFG,Hidayatullah Badri
AFG,Katrin Fakiri
AFG,Khalil Sediq
AFG,Khalilullah Sediq
AFG,Khan Afzal Hadawal
AFG,Mehrabuddin Paktiawal
AFG,Mohammad Ahmadi
AFG,Mohammad Hakim Khan
AFG,Mohammad Kabir
AFG,Mohammad Osmani
AFG,Mohammad Qasim Hashimzai
AFG,Mohammad Qayoumi
AFG,Mohibullah Safi
AFG,Najibullah Sahu
AFG,Nargis Nehan
AFG,Noor Ahmad Agha
AFG,Noorullah Delawari
AFG,Noorullah Delwari
AFG,Omar Zakhilwal
AFG,Samiullah Ibrahimi
AFG,Shah Mohammad Mehrabi
AFG,Shakir Jalali
AFG,Wahidullah Nosher
AGO,Abrahão Pio dos Santos Gourgel
AGO,Aguinaldo Jaime
AGO,Amadeu de Jesus Castelhano Maurício
AGO,António Gomes Furtado
AGO,António Inácio
AGO,Augusto Teixeira de Matos
AGO,Celestino Eliseu Kanda
AGO,Gaspar Martins
AGO,Generoso Hermenegildo de Almeida
AGO,Gualberto Lima Campos
AGO,Jose Lima Massano
AGO,José F. Leitao de Carvalho
AGO,José Pedro de Morais Júnior
AGO,José de Lima Massano
AGO,Manuel António Tiago Dias
AGO,Manuel Piedad dos Santos Junior
AGO,Marinela Amaral
AGO,Pedro Cunha Neto
AGO,Ricardo Abreu
AGO,Ricardo Daniel Queirós SandàoViegas D’Abreu
AGO,Rui Miguen de Oliveira
AGO,Sebastião Bastos Lavrador
AGO,Suzana Monteiro
AGO,Valter Filipe Duarte da Silva
AGO,Walter Silva
ALB,Abdyl Këllezi
ALB,Anastas Angjeli
ALB,Andis Harasani
ALB,Andrea Nako
ALB,Arben Malaj
ALB,Ardian Fullani
ALB,Arjan Kadareja
ALB,Bajram Muça
ALB,Benet Beci
ALB,Denada Prifti
ALB,Dhame Pite
ALB,Drini Salko
ALB,Dylber Vrioni
ALB,Ela Golemi
ALB,Elisabeta Gjoni
ALB,Ermelinda Meksi
ALB,Fatos Ibrahimi
ALB,Gent Sejko
ALB,Halit Xhafa
ALB,Ilir Hoti
ALB,Kamber Myftari
ALB,Kostandin Boshnjaku
ALB,Kostaq Postoli
ALB,Kristaq Luniku
ALB,Ksenofon Krisafi
ALB,Limos Malaj
ALB,Llazar Gjika
ALB,Llazi Balliu
ALB,Luljeta Minxhozi
ALB,Natasha Ahmetaj
ALB,Niko Gjyzari
ALB,Petraq Milo
ALB,Qamil Tusha
ALB,Qirjako Mihali
ALB,Shkëlqim Cani
ALB,Spiro Bakalli
ALB,Sulo Hadëri
ALB,Tefta Çuçi
ALB,Tonin Kola
ALB,Zeqir Lika
ANT,Alberto Romero
ANT,E.D. Tromp
ANT,J.G.J. van Delden
ANT,L. Wong
ANT,P.C. Timmermans
ANT,V.A. Servage
ARE,Abdelmalik al-Hamar
ARE,Abdulhamid Saeed Alahmadi
ARE,Hamad Buamim
ARE,Juma Al Majid
ARE,Khaled Mohammed Salem Balama Al Tameemi
ARE,Khalid Ahmed Altayer
ARE,Khalifa Nasser Bin Huwaileel
ARE,Khalil Mohammed Sharif Foulathi
ARE,Mubarak Rashed Al Mansoori
