name,iso3
A Caram,ABW
A Williams,ABW
Anthony Caram,ABW
Arthur Irausquin,ABW
Elias Mansur,ABW
Emile Dunnen,ABW
Hassanali Mehran,ABW
J Sarvaas,ABW
J Semeleer,ABW
Jeanette Semeleer,ABW
Robertico Henriquez,ABW
Abdul Asefi,AFG
Abdul Azizi,AFG
Abdul Fitrat,AFG
Abdul Ghawasi,AFG
Abdul Ranjbar,AFG
Abdul Sani,AFG
Ajmal Ahmady,AFG
Anwar Ahady,AFG
Ehsanullah Ehsan,AFG
Ghulam Jujeni,AFG
Ghulam Yalaqi,AFG
Habibullah Achekzai,AFG
Hidayatullah Badri,AFG
Katrin Fakiri,AFG
Khalil Sediq,AFG
Khan Hadawal,AFG
Mehrabuddin Paktiawal,AFG
Mohammad Ahmadi,AFG
Mohammad Hashimzai,AFG
Mohammad Kabir,AFG
Mohammad Khan,AFG
Mohammad Osmani,AFG
Mohammad Qayoumi,AFG
Mohibullah Safi,AFG
Najibullah Sahu,AFG
Nargis Nehan,AFG
Noor Agha,AFG
Noorullah Delawari,AFG
Noorullah Delwari,AFG
Omar Zakhilwal,AFG
Samiullah Ibrahimi,AFG
Shah Mehrabi,AFG
Shakir Jalali,AFG
Wahidullah Nosher,AFG
Abrahao Gourgel,AGO
Aguinaldo Jaime,AGO
Amadeu Mauricio,AGO
Antonio Furtado,AGO
Antonio Inacio,AGO
Augusto Matos,AGO
Celestino Kanda,AGO
Gaspar Martins,AGO
Generoso Almeida,AGO
Gualberto Campos,AGO
Jose Carvalho,AGO
Jose Massano,AGO
Jose Morais,AGO
Manuel Dias,AGO
Manuel Junior,AGO
Marinela Amaral,AGO
Pedro Neto,AGO
Ricardo Abreu,AGO
Ricardo Dabreu,AGO
Rui Oliveira,AGO
Sebastiao Lavrador,AGO
Suzana Monteiro,AGO
Valter Silva,AGO
Walter Silva,AGO
Abdyl Kellezi,ALB
Anastas Angjeli,ALB
Andis Harasani,ALB
Andrea Nako,ALB
Arben Malaj,ALB
Ardian Fullani,ALB
Arjan Kadareja,ALB
Bajram Muca,ALB
Benet Beci,ALB
