country,status,name,role,period
Chile,current,Rosanna Costa,Presidente,2022-2027
Chile,current,Pablo García,Vicepresidente,2023-2028
Chile,current,Stephany Griffith-Jones,Consejera,2022-2032
Chile,current,Claudio Soto,Consejero,2023-2033
Chile,current,Luis Felipe Céspedes,Consejero,2024-2034
Chile,historical,Hernán Somerville,Presidente,1989-1991
Chile,historical,Roberto Zahler,Presidente,1991-1996
Chile,historical,Manuel Marfán,Consejero,1993-1996
Chile,historical,Manuel Marfán,Vicepresidente,1996-1999
Chile,historical,Carlos Massad,Presidente,1996-2003
Chile,historical,Vittorio Corbo,Presidente,2003-2007
Chile,historical,Jorge Desormeaux,Consejero,1994-2004
Chile,historical,Jorge Desormeaux,Vicepresidente,2004-2009
Chile,historical,José De Gregorio,Presidente,2007-2011
Chile,historical,Rodrigo Vergara,Presidente,2011-2016
Chile,historical,Mario Marcel,Presidente,2016-2022
Chile,historical,Joaquín Vial,Consejero,2013-2023
Chile,historical,Alberto Naudon,Consejero,2014-2024
