country,central_bank_name,status,name,role,period
Argentina,Central Bank of Argentina,current,Santiago Bausili,President,Current
Argentina,Central Bank of Argentina,current,Vladimir Werning,Vice President,Current
Argentina,Central Bank of Argentina,current,Marcelo Blanco,Director,Current
Argentina,Central Bank of Argentina,current,Alejandro Lew,Director,Current
Argentina,Central Bank of Argentina,current,Juan Pazo,Director,Current
Argentina,Central Bank of Argentina,current,Agustín Pesce,Director,Current
Argentina,Central Bank of Argentina,current,Silvina Rivarola,Director,Current
Argentina,Central Bank of Argentina,current,Pedro Juan Biscay,Director,Current
Argentina,Central Bank of Argentina,current,Jorge Carrera,Director,Current
Argentina,Central Bank of Argentina,historical,Miguel Pesce,President,2019-2023
Argentina,Central Bank of Argentina,historical,Guido Sandleris,President,2018-2019
Argentina,Central Bank of Argentina,historical,Luis Caputo,President,2018
Argentina,Central Bank of Argentina,historical,Federico Sturzenegger,President,2015-2018
Argentina,Central Bank of Argentina,historical,Alejandro Vanoli,President,2014-2015
Argentina,Central Bank of Argentina,historical,Mercedes Marcó del Pont,President,2010-2013
Argentina,Central Bank of Argentina,historical,Martín Redrado,President,2004-2010
Brazil,Central Bank of Brazil,current,Roberto de Oliveira Campos Neto,Presidente,28/02/2019 - 31/12/2024
Brazil,Central Bank of Brazil,current,Ailton de Aquino Santos,Diretor de Fiscalização,01/01/2023 - 31/12/2027
Brazil,Central Bank of Brazil,current,Carolina de Assis Barros,Diretora de Administração,01/01/2023 - 31/12/2027
Brazil,Central Bank of Brazil,current,Fernanda Magalhães Rumenos Guardado,Diretora de Assuntos Internacionais e de Gestão de Riscos Corporativos,19/07/2021 - 31/12/2025
Brazil,Central Bank of Brazil,current,Gabriel Muricca Galípolo,Diretor de Política Monetária,12/07/2023 - 31/12/2027
Brazil,Central Bank of Brazil,current,Maurício Costa de Moura,Diretor de Organização do Sistema Financeiro e de Resolução,01/01/2023 - 31/12/2027
Brazil,Central Bank of Brazil,current,Otávio Ribeiro Damaso,Diretor de Regulação,19/07/2021 - 31/12/2025
Brazil,Central Bank of Brazil,current,Renato Dias de Brito Gomes,Diretor de Política Econômica,19/07/2021 - 31/12/2025
Brazil,Central Bank of Brazil,historical,Ilan Goldfajn,President,2016-2019
Brazil,Central Bank of Brazil,historical,Alexandre Tombini,President,2011-2016
Brazil,Central Bank of Brazil,historical,Henrique Meirelles,President,2003-2011
Brazil,Central Bank of Brazil,historical,Armínio Fraga Neto,President,1999-2003
Brazil,Central Bank of Brazil,historical,Gustavo Franco,President,1997-1999
Chile,Central Bank of Chile,current,Rosanna Costa,Presidenta,2022-2027
Chile,Central Bank of Chile,current,Alberto Naudon,Vicepresidente,2023-2028
Chile,Central Bank of Chile,current,Stephany Griffith-Jones,Consejera,2022-2032
Chile,Central Bank of Chile,current,Luis Felipe Céspedes,Consejero,2022-2030
